07:43:26.861303 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
07:49:02.173997 [queue=2] packet #11, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:02.191050 [queue=1] packet #9, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:02.203933 [queue=2] packet #9, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 44ms
07:49:02.219267 [queue=1] packet #12, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:02.242915 [queue=2] packet #12, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 35ms
07:49:02.249902 [queue=1] packet #9, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:02.279860 [queue=0] packet #12, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:07.183341 [queue=0] packet #8, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is dropped
07:49:07.185326 [queue=0] packet #10, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is dropped
07:49:07.193279 [queue=1] packet #13, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=1 is delayed for 24ms
07:49:07.224697 [queue=0] packet #13, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=1 is delivered
07:49:07.243658 [queue=1] packet #13, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 31ms
07:49:07.276064 [queue=0] packet #13, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:12.239482 [queue=0] packet #8, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is dropped
07:49:12.241480 [queue=0] packet #10, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is dropped
07:49:17.351591 [queue=1] packet #8, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 20ms
07:49:17.353586 [queue=2] packet #10, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 98ms
07:49:17.373405 [queue=1] packet #8, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:17.393268 [queue=1] packet #8, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is dropped
07:49:17.457972 [queue=0] packet #10, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:17.496273 [queue=1] packet #10, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 72ms
07:49:17.570596 [queue=0] packet #10, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:22.375656 [queue=1] packet #8, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 72ms
07:49:22.449086 [queue=0] packet #8, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:22.465336 [queue=1] packet #8, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 17ms
07:49:22.484334 [queue=0] packet #8, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:22.511573 [queue=1] packet #14, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 9ms
07:49:22.512571 [queue=1] packet #15, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is dropped
07:49:22.517556 [queue=2] packet #16, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 50ms
07:49:22.520549 [queue=3] packet #17, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 51ms
07:49:22.521546 [queue=2] packet #14, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:22.523540 [queue=2] packet #18, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is dropped
07:49:22.531521 [queue=2] packet #19, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is dropped
07:49:22.534515 [queue=3] packet #20, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 8ms
07:49:22.538500 [queue=4] packet #21, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 32ms
07:49:22.544551 [queue=5] packet #22, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 77ms
07:49:22.545549 [queue=6] packet #23, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 91ms
07:49:22.546543 [queue=5] packet #20, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:22.553526 [queue=6] packet #14, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 46ms
07:49:22.564259 [queue=7] packet #20, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 61ms
07:49:22.571536 [queue=6] packet #16, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:22.574557 [queue=5] packet #17, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:22.578488 [queue=4] packet #21, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:22.588220 [queue=4] packet #16, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is dropped
07:49:22.599387 [queue=5] packet #17, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 58ms
07:49:22.605229 [queue=4] packet #14, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:22.611212 [queue=5] packet #21, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 29ms
07:49:22.624416 [queue=4] packet #22, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:22.627309 [queue=3] packet #20, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:22.640302 [queue=4] packet #22, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 43ms
07:49:22.641280 [queue=3] packet #21, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:22.645262 [queue=2] packet #23, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:22.659478 [queue=1] packet #17, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:22.662478 [queue=2] packet #23, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 56ms
07:49:22.684945 [queue=1] packet #22, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:22.727731 [queue=0] packet #23, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:22.842803 [queue=1] packet #24, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 30ms
07:49:22.873975 [queue=0] packet #24, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:22.892177 [queue=1] packet #24, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 73ms
07:49:22.966613 [queue=0] packet #24, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:27.539531 [queue=1] packet #15, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 26ms
07:49:27.541536 [queue=1] packet #16, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is dropped
07:49:27.543529 [queue=2] packet #18, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 94ms
07:49:27.550510 [queue=2] packet #19, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is dropped
07:49:27.566596 [queue=1] packet #15, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:27.590209 [queue=2] packet #15, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 83ms
07:49:27.645363 [queue=1] packet #18, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
